Geneid	Chr	Start	End	Strand
all_samples_summits_18424	chr5	144771797	144772297	.
all_samples_summits_18425	chr5	144797084	144797584	.
all_samples_summits_18426	chr5	144875848	144876348	.
all_samples_summits_18427	chr5	144896735	144897235	.
all_samples_summits_18428	chr5	144898462	144898962	.
all_samples_summits_18429	chr5	144900924	144901424	.
all_samples_summits_18430	chr5	144904285	144904785	.
all_samples_summits_18431	chr5	144907422	144907922	.
all_samples_summits_18432	chr5	144917159	144917659	.
all_samples_summits_18433	chr5	144918145	144918645	.
all_samples_summits_18434	chr5	144923501	144924001	.
all_samples_summits_18435	chr5	144930618	144931118	.
all_samples_summits_18436	chr5	144943736	144944236	.
all_samples_summits_18437	chr5	144944890	144945390	.
all_samples_summits_18438	chr5	144946001	144946501	.
all_samples_summits_18439	chr5	144949704	144950204	.
all_samples_summits_18440	chr5	144954398	144954898	.
all_samples_summits_18441	chr5	144963841	144964341	.
all_samples_summits_18442	chr5	144964417	144964917	.
all_samples_summits_18443	chr5	144964998	144965498	.
all_samples_summits_18444	chr5	144965615	144966115	.
all_samples_summits_18445	chr5	144978682	144979182	.
all_samples_summits_18446	chr5	144988697	144989197	.
all_samples_summits_18447	chr5	145069639	145070139	.
all_samples_summits_18448	chr5	145083464	145083964	.
all_samples_summits_18449	chr5	145102614	145103114	.
all_samples_summits_18450	chr5	145105890	145106390	.
all_samples_summits_18451	chr5	145113968	145114468	.
all_samples_summits_18452	chr5	145114472	145114972	.
all_samples_summits_18453	chr5	145116304	145116804	.
all_samples_summits_18454	chr5	145116814	145117314	.
all_samples_summits_18455	chr5	145139835	145140335	.
all_samples_summits_18456	chr5	145166829	145167329	.
all_samples_summits_18457	chr5	145167389	145167889	.
all_samples_summits_18458	chr5	145191330	145191830	.
all_samples_summits_18459	chr5	145201648	145202148	.
all_samples_summits_18460	chr5	145204168	145204668	.
all_samples_summits_18461	chr5	145205021	145205521	.
all_samples_summits_18462	chr5	145231497	145231997	.
all_samples_summits_18463	chr5	145232059	145232559	.
all_samples_summits_18464	chr5	145280242	145280742	.
all_samples_summits_18465	chr5	145280759	145281259	.
all_samples_summits_18466	chr5	146220806	146221306	.
all_samples_summits_18467	chr5	146230810	146231310	.
all_samples_summits_18468	chr5	146238114	146238614	.
all_samples_summits_18469	chr5	146248703	146249203	.
all_samples_summits_18470	chr5	146250686	146251186	.
all_samples_summits_18471	chr5	146251978	146252478	.
all_samples_summits_18472	chr5	146293255	146293755	.
all_samples_summits_18473	chr5	146294251	146294751	.
all_samples_summits_18474	chr5	146294794	146295294	.
all_samples_summits_18475	chr5	146307371	146307871	.
all_samples_summits_18476	chr5	146314483	146314983	.
all_samples_summits_18477	chr5	146315364	146315864	.
all_samples_summits_18478	chr5	146324969	146325469	.
all_samples_summits_18479	chr5	146325806	146326306	.
all_samples_summits_18480	chr5	146420059	146420559	.
all_samples_summits_18481	chr5	146675171	146675671	.
all_samples_summits_18482	chr5	146676315	146676815	.
all_samples_summits_18483	chr5	146687840	146688340	.
all_samples_summits_18484	chr5	146692290	146692790	.
all_samples_summits_18485	chr5	146769934	146770434	.
all_samples_summits_18486	chr5	146779286	146779786	.
all_samples_summits_18487	chr5	146779837	146780337	.
all_samples_summits_18488	chr5	146792061	146792561	.
all_samples_summits_18489	chr5	146794721	146795221	.
all_samples_summits_18490	chr5	146824499	146824999	.
all_samples_summits_18491	chr5	146829485	146829985	.
all_samples_summits_18492	chr5	146832632	146833132	.
all_samples_summits_18493	chr5	146834923	146835423	.
all_samples_summits_18494	chr5	146844856	146845356	.
all_samples_summits_18495	chr5	146845693	146846193	.
all_samples_summits_18496	chr5	146846539	146847039	.
all_samples_summits_18497	chr5	146848832	146849332	.
all_samples_summits_18498	chr5	146861595	146862095	.
all_samples_summits_18499	chr5	146867651	146868151	.
all_samples_summits_18500	chr5	146904346	146904846	.
all_samples_summits_18501	chr5	146912296	146912796	.
all_samples_summits_18502	chr5	146914306	146914806	.
all_samples_summits_18503	chr5	146948488	146948988	.
all_samples_summits_18504	chr5	146963542	146964042	.
all_samples_summits_18505	chr5	147024590	147025090	.
all_samples_summits_18506	chr5	147055739	147056239	.
all_samples_summits_18507	chr5	147056400	147056900	.
all_samples_summits_18508	chr5	147057615	147058115	.
all_samples_summits_18509	chr5	147073744	147074244	.
all_samples_summits_18510	chr5	147075344	147075844	.
all_samples_summits_18511	chr5	147076408	147076908	.
all_samples_summits_18512	chr5	147077198	147077698	.
all_samples_summits_18513	chr5	147292465	147292965	.
all_samples_summits_18514	chr5	147293054	147293554	.
all_samples_summits_18515	chr5	147299553	147300053	.
all_samples_summits_18516	chr5	147319609	147320109	.
all_samples_summits_18517	chr5	147429916	147430416	.
all_samples_summits_18518	chr5	147430897	147431397	.
all_samples_summits_18519	chr5	147448916	147449416	.
all_samples_summits_18520	chr5	147459812	147460312	.
all_samples_summits_18521	chr5	147545601	147546101	.
all_samples_summits_18522	chr5	147552108	147552608	.
all_samples_summits_18523	chr5	147557573	147558073	.
all_samples_summits_18524	chr5	147707448	147707948	.
all_samples_summits_18525	chr5	147725498	147725998	.
all_samples_summits_18526	chr5	147758064	147758564	.
all_samples_summits_18527	chr5	147786782	147787282	.
all_samples_summits_18528	chr5	147792971	147793471	.
all_samples_summits_18529	chr5	147860352	147860852	.
all_samples_summits_18530	chr5	147860920	147861420	.
all_samples_summits_18531	chr5	147894064	147894564	.
all_samples_summits_18532	chr5	147894607	147895107	.
all_samples_summits_18533	chr5	147896416	147896916	.
all_samples_summits_18534	chr5	147957020	147957520	.
all_samples_summits_18535	chr5	147957868	147958368	.
all_samples_summits_18536	chr5	147963820	147964320	.
all_samples_summits_18537	chr5	147992532	147993032	.
all_samples_summits_18538	chr5	148264962	148265462	.
all_samples_summits_18539	chr5	148271994	148272494	.
all_samples_summits_18540	chr5	148332530	148333030	.
all_samples_summits_18541	chr5	148361195	148361695	.
all_samples_summits_18542	chr5	148373049	148373549	.
all_samples_summits_18543	chr5	148399078	148399578	.
all_samples_summits_18544	chr5	148399632	148400132	.
all_samples_summits_18545	chr5	148443625	148444125	.
all_samples_summits_18546	chr5	148450935	148451435	.
all_samples_summits_18547	chr5	148489278	148489778	.
all_samples_summits_18548	chr5	148512204	148512704	.
all_samples_summits_18549	chr5	148516501	148517001	.
all_samples_summits_18550	chr5	148517357	148517857	.
all_samples_summits_18551	chr5	148523487	148523987	.
all_samples_summits_18552	chr5	148547986	148548486	.
all_samples_summits_18553	chr5	148551253	148551753	.
all_samples_summits_18554	chr5	148552035	148552535	.
all_samples_summits_18555	chr5	148552566	148553066	.
all_samples_summits_18556	chr5	148553691	148554191	.
all_samples_summits_18557	chr5	148558391	148558891	.
all_samples_summits_18558	chr5	148562641	148563141	.
all_samples_summits_18559	chr5	148577150	148577650	.
all_samples_summits_18560	chr5	148598282	148598782	.
all_samples_summits_18561	chr5	148608119	148608619	.
all_samples_summits_18562	chr5	148632718	148633218	.
all_samples_summits_18563	chr5	148633849	148634349	.
all_samples_summits_18564	chr5	148635010	148635510	.
all_samples_summits_18565	chr5	148645008	148645508	.
all_samples_summits_18566	chr5	148681000	148681500	.
all_samples_summits_18567	chr5	148696363	148696863	.
all_samples_summits_18568	chr5	148706199	148706699	.
all_samples_summits_18569	chr5	148707439	148707939	.
all_samples_summits_18570	chr5	148707959	148708459	.
all_samples_summits_18571	chr5	148709422	148709922	.
all_samples_summits_18572	chr5	148711457	148711957	.
all_samples_summits_18573	chr5	148740878	148741378	.
all_samples_summits_18574	chr5	148741505	148742005	.
all_samples_summits_18575	chr5	148789189	148789689	.
all_samples_summits_18576	chr5	148794420	148794920	.
all_samples_summits_18577	chr5	148812000	148812500	.
all_samples_summits_18578	chr5	148831558	148832058	.
all_samples_summits_18579	chr5	148885761	148886261	.
all_samples_summits_18580	chr5	148895031	148895531	.
all_samples_summits_18581	chr5	148895645	148896145	.
all_samples_summits_18582	chr5	148904806	148905306	.
all_samples_summits_18583	chr5	148928484	148928984	.
all_samples_summits_18584	chr5	148936334	148936834	.
all_samples_summits_18585	chr5	148956806	148957306	.
all_samples_summits_18586	chr5	148958965	148959465	.
all_samples_summits_18587	chr5	148959479	148959979	.
all_samples_summits_18588	chr5	148965595	148966095	.
all_samples_summits_18589	chr5	148995056	148995556	.
all_samples_summits_18590	chr5	148996336	148996836	.
all_samples_summits_18591	chr5	149006691	149007191	.
all_samples_summits_18592	chr5	149009304	149009804	.
all_samples_summits_18593	chr5	149014074	149014574	.
all_samples_summits_18594	chr5	149015192	149015692	.
all_samples_summits_18595	chr5	149015701	149016201	.
all_samples_summits_18596	chr5	149019199	149019699	.
all_samples_summits_18597	chr5	149020479	149020979	.
all_samples_summits_18598	chr5	149021138	149021638	.
all_samples_summits_18599	chr5	149031261	149031761	.
all_samples_summits_18600	chr5	149045681	149046181	.
all_samples_summits_18601	chr5	149051149	149051649	.
all_samples_summits_18602	chr5	149051695	149052195	.
all_samples_summits_18603	chr5	149052857	149053357	.
all_samples_summits_18604	chr5	149062756	149063256	.
all_samples_summits_18605	chr5	149078920	149079420	.
all_samples_summits_18606	chr5	149134644	149135144	.
all_samples_summits_18607	chr5	149143965	149144465	.
all_samples_summits_18608	chr5	149160470	149160970	.
all_samples_summits_18609	chr5	149162821	149163321	.
all_samples_summits_18610	chr5	149183747	149184247	.
all_samples_summits_18611	chr5	149184358	149184858	.
all_samples_summits_18612	chr5	149202871	149203371	.
all_samples_summits_18613	chr5	149228942	149229442	.
all_samples_summits_18614	chr5	149313192	149313692	.
all_samples_summits_18615	chr5	149329531	149330031	.
all_samples_summits_18616	chr5	149335815	149336315	.
all_samples_summits_18617	chr5	149353096	149353596	.
all_samples_summits_18618	chr5	149374001	149374501	.
all_samples_summits_18619	chr5	149375782	149376282	.
all_samples_summits_18620	chr5	149389453	149389953	.
all_samples_summits_18621	chr5	149392010	149392510	.
all_samples_summits_18622	chr5	149411386	149411886	.
all_samples_summits_18623	chr5	149414317	149414817	.
all_samples_summits_18624	chr5	149428911	149429411	.
all_samples_summits_18625	chr5	149433609	149434109	.
all_samples_summits_18626	chr5	149434217	149434717	.
all_samples_summits_18627	chr5	149439390	149439890	.
all_samples_summits_18628	chr5	149440004	149440504	.
all_samples_summits_18629	chr5	149523800	149524300	.
all_samples_summits_18630	chr5	149524469	149524969	.
all_samples_summits_18631	chr5	149615397	149615897	.
all_samples_summits_18632	chr5	149616040	149616540	.
all_samples_summits_18633	chr5	149622622	149623122	.
all_samples_summits_18634	chr5	149623753	149624253	.
all_samples_summits_18635	chr5	149625586	149626086	.
all_samples_summits_18636	chr5	149636179	149636679	.
all_samples_summits_18637	chr5	149648010	149648510	.
all_samples_summits_18638	chr5	149678252	149678752	.
all_samples_summits_18639	chr5	149819870	149820370	.
all_samples_summits_18640	chr5	150118365	150118865	.
all_samples_summits_18641	chr5	150196139	150196639	.
all_samples_summits_18642	chr5	150333152	150333652	.
all_samples_summits_18643	chr5	150451683	150452183	.
all_samples_summits_18644	chr5	150457391	150457891	.
all_samples_summits_18645	chr5	150458654	150459154	.
all_samples_summits_18646	chr5	150465230	150465730	.
all_samples_summits_18647	chr5	150466153	150466653	.
all_samples_summits_18648	chr5	150491662	150492162	.
all_samples_summits_18649	chr5	150522351	150522851	.
all_samples_summits_18650	chr5	150566910	150567410	.
all_samples_summits_18651	chr5	150593435	150593935	.
all_samples_summits_18652	chr5	150594303	150594803	.
all_samples_summits_18653	chr5	150611607	150612107	.
all_samples_summits_18654	chr5	150621491	150621991	.
all_samples_summits_18655	chr5	150664892	150665392	.
all_samples_summits_18656	chr5	150665463	150665963	.
all_samples_summits_18657	chr5	150670633	150671133	.
all_samples_summits_18658	chr5	150673520	150674020	.
all_samples_summits_18659	chr5	150674195	150674695	.
all_samples_summits_18660	chr5	150706589	150707089	.
all_samples_summits_18661	chr5	150996474	150996974	.
all_samples_summits_18662	chr5	151042864	151043364	.
all_samples_summits_18663	chr5	151045320	151045820	.
all_samples_summits_18664	chr5	151053152	151053652	.
all_samples_summits_18665	chr5	151054254	151054754	.
all_samples_summits_18666	chr5	151065220	151065720	.
all_samples_summits_18667	chr5	151069482	151069982	.
all_samples_summits_18668	chr5	151093539	151094039	.
all_samples_summits_18669	chr5	151104569	151105069	.
all_samples_summits_18670	chr5	151109686	151110186	.
all_samples_summits_18671	chr5	151117822	151118322	.
all_samples_summits_18672	chr5	151135415	151135915	.
all_samples_summits_18673	chr5	151142242	151142742	.
all_samples_summits_18674	chr5	151151586	151152086	.
all_samples_summits_18675	chr5	151154650	151155150	.
all_samples_summits_18676	chr5	151164718	151165218	.
all_samples_summits_18677	chr5	151165575	151166075	.
all_samples_summits_18678	chr5	151166245	151166745	.
all_samples_summits_18679	chr5	151168171	151168671	.
all_samples_summits_18680	chr5	151170273	151170773	.
all_samples_summits_18681	chr5	151173769	151174269	.
all_samples_summits_18682	chr5	151175209	151175709	.
all_samples_summits_18683	chr5	151176010	151176510	.
all_samples_summits_18684	chr5	151185240	151185740	.
all_samples_summits_18685	chr5	151189444	151189944	.
all_samples_summits_18686	chr5	151190027	151190527	.
all_samples_summits_18687	chr5	151196825	151197325	.
all_samples_summits_18688	chr5	151202880	151203380	.
all_samples_summits_18689	chr5	151233235	151233735	.
all_samples_summits_18690	chr5	151247047	151247547	.
all_samples_summits_18691	chr5	151251569	151252069	.
all_samples_summits_18692	chr5	151260606	151261106	.
all_samples_summits_18693	chr5	151274248	151274748	.
all_samples_summits_18694	chr5	151315714	151316214	.
all_samples_summits_18695	chr5	151346551	151347051	.
all_samples_summits_18696	chr5	151367820	151368320	.
all_samples_summits_18697	chr5	151368485	151368985	.
all_samples_summits_18698	chr5	151369356	151369856	.
all_samples_summits_18699	chr5	151407456	151407956	.
all_samples_summits_18700	chr5	151409937	151410437	.
all_samples_summits_18701	chr5	151650986	151651486	.
all_samples_summits_18702	chr5	151686797	151687297	.
all_samples_summits_18703	chr6	3343569	3344069	.
all_samples_summits_18704	chr6	3344092	3344592	.
all_samples_summits_18705	chr6	3345870	3346370	.
all_samples_summits_18706	chr6	3386551	3387051	.
all_samples_summits_18707	chr6	3395745	3396245	.
all_samples_summits_18708	chr6	3397555	3398055	.
all_samples_summits_18709	chr6	3399281	3399781	.
all_samples_summits_18710	chr6	3447321	3447821	.
all_samples_summits_18711	chr6	3498132	3498632	.
all_samples_summits_18712	chr6	4086751	4087251	.
all_samples_summits_18713	chr6	4600516	4601016	.
all_samples_summits_18714	chr6	4740336	4740836	.
all_samples_summits_18715	chr6	4747150	4747650	.
all_samples_summits_18716	chr6	4749000	4749500	.
all_samples_summits_18717	chr6	4902715	4903215	.
all_samples_summits_18718	chr6	4903537	4904037	.
all_samples_summits_18719	chr6	4905741	4906241	.
all_samples_summits_18720	chr6	4972728	4973228	.
all_samples_summits_18721	chr6	4973241	4973741	.
all_samples_summits_18722	chr6	4982550	4983050	.
all_samples_summits_18723	chr6	5048003	5048503	.
all_samples_summits_18724	chr6	5110345	5110845	.
all_samples_summits_18725	chr6	5112834	5113334	.
all_samples_summits_18726	chr6	5114784	5115284	.
all_samples_summits_18727	chr6	5199824	5200324	.
all_samples_summits_18728	chr6	5217283	5217783	.
all_samples_summits_18729	chr6	5233744	5234244	.
all_samples_summits_18730	chr6	5237487	5237987	.
all_samples_summits_18731	chr6	5256045	5256545	.
all_samples_summits_18732	chr6	5262437	5262937	.
all_samples_summits_18733	chr6	5297194	5297694	.
all_samples_summits_18734	chr6	5298126	5298626	.
all_samples_summits_18735	chr6	5300573	5301073	.
all_samples_summits_18736	chr6	5309758	5310258	.
all_samples_summits_18737	chr6	5382512	5383012	.
all_samples_summits_18738	chr6	5384095	5384595	.
all_samples_summits_18739	chr6	5401335	5401835	.
all_samples_summits_18740	chr6	5410893	5411393	.
all_samples_summits_18741	chr6	5429410	5429910	.
all_samples_summits_18742	chr6	5438453	5438953	.
all_samples_summits_18743	chr6	5439176	5439676	.
all_samples_summits_18744	chr6	5442626	5443126	.
all_samples_summits_18745	chr6	5443142	5443642	.
all_samples_summits_18746	chr6	5444371	5444871	.
all_samples_summits_18747	chr6	5496174	5496674	.
all_samples_summits_18748	chr6	5509682	5510182	.
all_samples_summits_18749	chr6	5552838	5553338	.
all_samples_summits_18750	chr6	5553680	5554180	.
all_samples_summits_18751	chr6	5589589	5590089	.
all_samples_summits_18752	chr6	6216896	6217396	.
all_samples_summits_18753	chr6	6310068	6310568	.
all_samples_summits_18754	chr6	6547950	6548450	.
all_samples_summits_18755	chr6	6578408	6578908	.
all_samples_summits_18756	chr6	6955672	6956172	.
all_samples_summits_18757	chr6	6956207	6956707	.
all_samples_summits_18758	chr6	7692407	7692907	.
all_samples_summits_18759	chr6	7692954	7693454	.
all_samples_summits_18760	chr6	7788998	7789498	.
all_samples_summits_18761	chr6	7844381	7844881	.
all_samples_summits_18762	chr6	7844950	7845450	.
all_samples_summits_18763	chr6	7848139	7848639	.
all_samples_summits_18764	chr6	7856788	7857288	.
all_samples_summits_18765	chr6	7858541	7859041	.
all_samples_summits_18766	chr6	7882376	7882876	.
all_samples_summits_18767	chr6	8118550	8119050	.
all_samples_summits_18768	chr6	8208972	8209472	.
all_samples_summits_18769	chr6	8259019	8259519	.
all_samples_summits_18770	chr6	8259535	8260035	.
all_samples_summits_18771	chr6	8274356	8274856	.
all_samples_summits_18772	chr6	8275018	8275518	.
all_samples_summits_18773	chr6	8276402	8276902	.
all_samples_summits_18774	chr6	8345381	8345881	.
all_samples_summits_18775	chr6	8469827	8470327	.
all_samples_summits_18776	chr6	8472847	8473347	.
all_samples_summits_18777	chr6	8473473	8473973	.
all_samples_summits_18778	chr6	8484650	8485150	.
all_samples_summits_18779	chr6	8495767	8496267	.
all_samples_summits_18780	chr6	8509037	8509537	.
all_samples_summits_18781	chr6	8509808	8510308	.
all_samples_summits_18782	chr6	8732411	8732911	.
all_samples_summits_18783	chr6	8736083	8736583	.
all_samples_summits_18784	chr6	8752830	8753330	.
all_samples_summits_18785	chr6	8766613	8767113	.
all_samples_summits_18786	chr6	8777246	8777746	.
all_samples_summits_18787	chr6	8777943	8778443	.
all_samples_summits_18788	chr6	8832954	8833454	.
all_samples_summits_18789	chr6	11906848	11907348	.
all_samples_summits_18790	chr6	11907540	11908040	.
all_samples_summits_18791	chr6	11925631	11926131	.
all_samples_summits_18792	chr6	13052369	13052869	.
all_samples_summits_18793	chr6	13069582	13070082	.
all_samples_summits_18794	chr6	13073787	13074287	.
all_samples_summits_18795	chr6	13288375	13288875	.
all_samples_summits_18796	chr6	13607518	13608018	.
all_samples_summits_18797	chr6	13636502	13637002	.
all_samples_summits_18798	chr6	13677053	13677553	.
all_samples_summits_18799	chr6	13677762	13678262	.
all_samples_summits_18800	chr6	13838471	13838971	.
all_samples_summits_18801	chr6	13871253	13871753	.
all_samples_summits_18802	chr6	13909677	13910177	.
all_samples_summits_18803	chr6	14044607	14045107	.
all_samples_summits_18804	chr6	14585803	14586303	.
all_samples_summits_18805	chr6	14699971	14700471	.
all_samples_summits_18806	chr6	14715086	14715586	.
all_samples_summits_18807	chr6	14715588	14716088	.
all_samples_summits_18808	chr6	14777835	14778335	.
all_samples_summits_18809	chr6	14782783	14783283	.
all_samples_summits_18810	chr6	14899994	14900494	.
all_samples_summits_18811	chr6	14900650	14901150	.
all_samples_summits_18812	chr6	14901153	14901653	.
all_samples_summits_18813	chr6	14902208	14902708	.
all_samples_summits_18814	chr6	15321200	15321700	.
all_samples_summits_18815	chr6	15719841	15720341	.
all_samples_summits_18816	chr6	15720508	15721008	.
all_samples_summits_18817	chr6	15721114	15721614	.
all_samples_summits_18818	chr6	15722220	15722720	.
all_samples_summits_18819	chr6	15724164	15724664	.
all_samples_summits_18820	chr6	15731446	15731946	.
all_samples_summits_18821	chr6	15737204	15737704	.
all_samples_summits_18822	chr6	15738373	15738873	.
all_samples_summits_18823	chr6	15742724	15743224	.
all_samples_summits_18824	chr6	15743464	15743964	.
all_samples_summits_18825	chr6	15745223	15745723	.
all_samples_summits_18826	chr6	15839789	15840289	.
all_samples_summits_18827	chr6	15841802	15842302	.
all_samples_summits_18828	chr6	17051439	17051939	.
all_samples_summits_18829	chr6	17064886	17065386	.
all_samples_summits_18830	chr6	17065676	17066176	.
all_samples_summits_18831	chr6	17109177	17109677	.
all_samples_summits_18832	chr6	17110504	17111004	.
all_samples_summits_18833	chr6	17119448	17119948	.
all_samples_summits_18834	chr6	17139895	17140395	.
all_samples_summits_18835	chr6	17142997	17143497	.
all_samples_summits_18836	chr6	17169868	17170368	.
all_samples_summits_18837	chr6	17171332	17171832	.
all_samples_summits_18838	chr6	17171934	17172434	.
all_samples_summits_18839	chr6	17211186	17211686	.
all_samples_summits_18840	chr6	17224820	17225320	.
all_samples_summits_18841	chr6	17280894	17281394	.
all_samples_summits_18842	chr6	17281428	17281928	.
all_samples_summits_18843	chr6	17305821	17306321	.
all_samples_summits_18844	chr6	17306482	17306982	.
all_samples_summits_18845	chr6	17307366	17307866	.
all_samples_summits_18846	chr6	17315734	17316234	.
all_samples_summits_18847	chr6	17380041	17380541	.
all_samples_summits_18848	chr6	17400199	17400699	.
all_samples_summits_18849	chr6	17408036	17408536	.
all_samples_summits_18850	chr6	17409646	17410146	.
all_samples_summits_18851	chr6	17463641	17464141	.
all_samples_summits_18852	chr6	17464156	17464656	.
all_samples_summits_18853	chr6	17478733	17479233	.
all_samples_summits_18854	chr6	17481089	17481589	.
all_samples_summits_18855	chr6	17485871	17486371	.
all_samples_summits_18856	chr6	17488161	17488661	.
all_samples_summits_18857	chr6	17498669	17499169	.
all_samples_summits_18858	chr6	17499196	17499696	.
all_samples_summits_18859	chr6	17501365	17501865	.
all_samples_summits_18860	chr6	17503669	17504169	.
all_samples_summits_18861	chr6	17506737	17507237	.
all_samples_summits_18862	chr6	17508552	17509052	.
all_samples_summits_18863	chr6	17546838	17547338	.
all_samples_summits_18864	chr6	17548833	17549333	.
all_samples_summits_18865	chr6	17549616	17550116	.
all_samples_summits_18866	chr6	17554718	17555218	.
all_samples_summits_18867	chr6	17555656	17556156	.
all_samples_summits_18868	chr6	17559708	17560208	.
all_samples_summits_18869	chr6	17568832	17569332	.
all_samples_summits_18870	chr6	17573192	17573692	.
all_samples_summits_18871	chr6	17573699	17574199	.
all_samples_summits_18872	chr6	17578008	17578508	.
all_samples_summits_18873	chr6	17583834	17584334	.
all_samples_summits_18874	chr6	17589596	17590096	.
all_samples_summits_18875	chr6	17633709	17634209	.
all_samples_summits_18876	chr6	17634981	17635481	.
all_samples_summits_18877	chr6	17636793	17637293	.
all_samples_summits_18878	chr6	17637551	17638051	.
all_samples_summits_18879	chr6	17652113	17652613	.
all_samples_summits_18880	chr6	17675351	17675851	.
all_samples_summits_18881	chr6	17693889	17694389	.
all_samples_summits_18882	chr6	17694486	17694986	.
all_samples_summits_18883	chr6	17726012	17726512	.
all_samples_summits_18884	chr6	17748930	17749430	.
all_samples_summits_18885	chr6	17859421	17859921	.
all_samples_summits_18886	chr6	17946370	17946870	.
all_samples_summits_18887	chr6	18169534	18170034	.
all_samples_summits_18888	chr6	18170331	18170831	.
all_samples_summits_18889	chr6	18171562	18172062	.
all_samples_summits_18890	chr6	18248462	18248962	.
all_samples_summits_18891	chr6	18270924	18271424	.
all_samples_summits_18892	chr6	18357083	18357583	.
all_samples_summits_18893	chr6	18372761	18373261	.
all_samples_summits_18894	chr6	18601896	18602396	.
all_samples_summits_18895	chr6	18666518	18667018	.
all_samples_summits_18896	chr6	21823287	21823787	.
all_samples_summits_18897	chr6	21851354	21851854	.
all_samples_summits_18898	chr6	21852048	21852548	.
all_samples_summits_18899	chr6	21949252	21949752	.
all_samples_summits_18900	chr6	21984871	21985371	.
all_samples_summits_18901	chr6	21985686	21986186	.
all_samples_summits_18902	chr6	22033207	22033707	.
all_samples_summits_18903	chr6	22325574	22326074	.
all_samples_summits_18904	chr6	22339785	22340285	.
all_samples_summits_18905	chr6	22355937	22356437	.
all_samples_summits_18906	chr6	22360561	22361061	.
all_samples_summits_18907	chr6	22361852	22362352	.
all_samples_summits_18908	chr6	22378451	22378951	.
all_samples_summits_18909	chr6	22444086	22444586	.
all_samples_summits_18910	chr6	22493845	22494345	.
all_samples_summits_18911	chr6	22802288	22802788	.
all_samples_summits_18912	chr6	23037169	23037669	.
all_samples_summits_18913	chr6	23084707	23085207	.
all_samples_summits_18914	chr6	23124797	23125297	.
all_samples_summits_18915	chr6	23132817	23133317	.
all_samples_summits_18916	chr6	23630820	23631320	.
all_samples_summits_18917	chr6	23813928	23814428	.
all_samples_summits_18918	chr6	23838560	23839060	.
all_samples_summits_18919	chr6	23839109	23839609	.
all_samples_summits_18920	chr6	23839951	23840451	.
all_samples_summits_18921	chr6	23886329	23886829	.
all_samples_summits_18922	chr6	24047009	24047509	.
all_samples_summits_18923	chr6	24166726	24167226	.
all_samples_summits_18924	chr6	24527384	24527884	.
all_samples_summits_18925	chr6	24530078	24530578	.
all_samples_summits_18926	chr6	24546557	24547057	.
all_samples_summits_18927	chr6	24628482	24628982	.
all_samples_summits_18928	chr6	24662434	24662934	.
all_samples_summits_18929	chr6	24664092	24664592	.
all_samples_summits_18930	chr6	24664840	24665340	.
all_samples_summits_18931	chr6	25809055	25809555	.
all_samples_summits_18932	chr6	28135836	28136336	.
all_samples_summits_18933	chr6	28215267	28215767	.
all_samples_summits_18934	chr6	28228033	28228533	.
all_samples_summits_18935	chr6	28261732	28262232	.
all_samples_summits_18936	chr6	28262244	28262744	.
all_samples_summits_18937	chr6	28420843	28421343	.
all_samples_summits_18938	chr6	28421549	28422049	.
all_samples_summits_18939	chr6	28423315	28423815	.
all_samples_summits_18940	chr6	28423945	28424445	.
all_samples_summits_18941	chr6	28459052	28459552	.
all_samples_summits_18942	chr6	28460487	28460987	.
all_samples_summits_18943	chr6	28479941	28480441	.
all_samples_summits_18944	chr6	28482678	28483178	.
all_samples_summits_18945	chr6	28497810	28498310	.
all_samples_summits_18946	chr6	28514775	28515275	.
all_samples_summits_18947	chr6	28516996	28517496	.
all_samples_summits_18948	chr6	28680483	28680983	.
all_samples_summits_18949	chr6	28681977	28682477	.
all_samples_summits_18950	chr6	28735107	28735607	.
all_samples_summits_18951	chr6	28789614	28790114	.
all_samples_summits_18952	chr6	28832862	28833362	.
all_samples_summits_18953	chr6	28867443	28867943	.
all_samples_summits_18954	chr6	28877968	28878468	.
all_samples_summits_18955	chr6	29023106	29023606	.
all_samples_summits_18956	chr6	29024073	29024573	.
all_samples_summits_18957	chr6	29164461	29164961	.
all_samples_summits_18958	chr6	29171011	29171511	.
all_samples_summits_18959	chr6	29198538	29199038	.
all_samples_summits_18960	chr6	29212084	29212584	.
all_samples_summits_18961	chr6	29215812	29216312	.
all_samples_summits_18962	chr6	29234246	29234746	.
all_samples_summits_18963	chr6	29245330	29245830	.
all_samples_summits_18964	chr6	29246526	29247026	.
all_samples_summits_18965	chr6	29248362	29248862	.
all_samples_summits_18966	chr6	29271005	29271505	.
all_samples_summits_18967	chr6	29272352	29272852	.
all_samples_summits_18968	chr6	29278935	29279435	.
all_samples_summits_18969	chr6	29347759	29348259	.
all_samples_summits_18970	chr6	29348338	29348838	.
all_samples_summits_18971	chr6	29362772	29363272	.
all_samples_summits_18972	chr6	29387933	29388433	.
all_samples_summits_18973	chr6	29388454	29388954	.
all_samples_summits_18974	chr6	29396326	29396826	.
all_samples_summits_18975	chr6	29467467	29467967	.
all_samples_summits_18976	chr6	29473770	29474270	.
all_samples_summits_18977	chr6	29484652	29485152	.
all_samples_summits_18978	chr6	29517053	29517553	.
all_samples_summits_18979	chr6	29526798	29527298	.
all_samples_summits_18980	chr6	29527877	29528377	.
all_samples_summits_18981	chr6	29547570	29548070	.
all_samples_summits_18982	chr6	29609017	29609517	.
